Matches,Teams,Position,Wins,Losses,NRR
37,DC,6,3,4,0.71
37,GT,1,6,1,0.4
37,KKR,7,3,5,0.08
37,LSG,4,5,3,0.33
37,MI,10,0,8,-1
37,PK,8,3,4,-0.56
37,RCB,5,5,3,-0.47
37,RR,3,5,2,0.43
37,SRH,2,5,2,0.69
38,CSK,9,2,6,-0.54
38,DC,7,3,4,0.71
38,GT,1,6,1,0.4
38,KKR,8,3,5,0.08
38,LSG,4,5,3,0.33
38,MI,10,0,8,-1
38,PK,6,4,4,-0.42
38,RCB,5,5,3,-0.47
38,RR,3,5,2,0.43
38,SRH,2,5,2,0.69
39,CSK,9,2,6,-0.54
39,DC,7,3,4,0.71
39,GT,2,6,1,0.4
39,KKR,8,3,5,0.08
39,LSG,4,5,3,0.33
39,MI,10,0,8,-1
39,PK,6,4,4,-0.42
39,RCB,5,5,4,-0.57
39,RR,1,6,2,0.56
39,SRH,3,5,2,0.69
40,CSK,9,2,6,-0.54
40,DC,7,3,4,0.71
40,GT,1,7,1,0.37
40,KKR,8,3,5,0.08
40,LSG,4,5,3,0.33
40,MI,10,0,8,-1
40,PK,6,4,4,-0.42
40,RCB,5,5,4,-0.57
40,RR,2,6,2,0.56
40,SRH,3,5,3,0.6
41,CSK,9,2,6,-0.54
41,DC,6,4,4,0.69
41,GT,1,7,1,0.37
41,KKR,8,3,6,-0.01
41,LSG,4,5,3,0.33
41,MI,10,0,8,-1
41,PK,7,4,4,-0.42
41,RCB,5,5,4,-0.57
41,RR,2,6,2,0.56
41,SRH,3,5,3,0.6
42,CSK,9,2,6,-0.54
42,DC,6,4,4,0.69
42,GT,1,7,1,0.37
42,KKR,8,3,6,-0.01
42,LSG,3,6,3,0.4
42,MI,10,0,8,-1
42,PK,7,4,5,-0.47
42,RCB,5,5,4,-0.57
42,RR,2,6,2,0.56
42,SRH,4,5,3,0.6
43,CSK,9,2,6,-0.54
43,DC,6,4,4,0.69
43,GT,1,8,1,0.38
43,KKR,8,3,6,-0.01
43,LSG,3,6,3,0.41
43,MI,10,0,8,-1
43,PK,7,4,5,-0.47
43,RCB,5,5,5,-0.56
43,RR,2,6,2,0.56
43,SRH,4,5,3,0.6
44,CSK,9,2,6,-0.54
44,DC,6,4,4,0.69
44,GT,1,8,1,0.38
44,KKR,8,3,6,-0.01
44,LSG,3,6,3,0.41
44,MI,10,1,8,-0.84
44,PK,7,4,5,-0.47
44,RCB,5,5,5,-0.56
44,RR,2,6,3,0.45
44,SRH,4,5,3,0.6
45,CSK,9,2,6,-0.54
45,DC,6,4,4,0.69
45,GT,1,8,1,0.38
45,KKR,8,3,6,-0.01
45,LSG,3,6,3,0.41
45,MI,10,1,8,-0.84
45,PK,7,4,5,-0.47
45,RCB,5,5,5,-0.56
45,RR,2,6,3,0.45
45,SRH,4,5,3,0.6
46,CSK,9,3,6,-0.4
46,DC,6,4,4,0.69
46,GT,1,8,1,0.38
46,KKR,8,3,6,-0.01
46,LSG,3,6,3,0.41
46,MI,10,1,8,-0.84
46,PK,7,4,5,-0.47
46,RCB,5,5,5,-0.56
46,RR,2,6,3,0.45
46,SRH,4,5,4,0.47
47,CSK,9,3,6,-0.4
47,DC,6,4,4,0.69
47,GT,1,8,1,0.38
47,KKR,7,4,6,0.06
47,LSG,2,6,3,0.41
47,MI,10,1,8,-0.84
47,PK,8,4,5,-0.47
47,RCB,5,5,5,-0.56
47,RR,3,6,4,0.34
47,SRH,4,5,4,0.47
48,CSK,9,3,6,-0.41
48,DC,7,4,5,0.59
48,GT,1,8,2,0.16
48,KKR,8,4,6,0.06
48,LSG,2,7,3,-0.4
48,MI,10,1,8,-0.84
48,PK,5,5,5,-0.23
48,RCB,6,5,5,-0.56
48,RR,3,6,4,0.34
48,SRH,4,5,4,0.47
49,CSK,9,3,7,-0.43
49,DC,7,4,5,0.59
49,GT,1,8,2,0.16
49,KKR,8,4,6,0.06
49,LSG,2,7,3,0.4
49,MI,10,1,8,-0.84
49,PK,6,5,5,-0.23
49,RCB,4,6,5,-0.44
49,RR,3,6,4,0.34
49,SRH,5,5,4,0.47
50,CSK,9,3,7,-0.43
50,DC,5,5,5,0.64
50,GT,1,8,2,0.15
50,KKR,8,4,6,0.06
50,LSG,2,7,3,0.39
50,MI,10,1,8,-0.83
50,PK,7,5,5,-0.22
50,RCB,4,6,5,-0.44
50,RR,3,6,4,0.34
50,SRH,6,5,5,0.32
51,CSK,9,3,7,-0.43
51,DC,5,5,5,0.64
51,GT,1,8,3,0.12
51,KKR,8,4,6,0.06
51,LSG,2,7,3,0.39
51,MI,10,2,8,-0.72
51,PK,7,5,5,-0.22
51,RCB,4,6,5,-0.44
51,RR,3,6,4,0.34
51,SRH,6,5,5,0.32
52,CSK,9,3,7,-0.43
52,DC,5,5,5,0.64
52,GT,2,8,3,0.12
52,KKR,8,4,7,-0.3
52,LSG,1,8,3,0.7
52,MI,10,2,8,-0.72
52,PK,7,5,6,-0.23
52,RCB,4,6,5,-0.44
52,RR,3,7,4,0.33
52,SRH,6,5,5,0.33
53,CSK,9,3,7,-0.43
53,DC,5,5,5,0.64
53,GT,2,8,3,0.12
53,KKR,8,4,7,-0.3
53,LSG,1,8,3,0.7
53,MI,10,2,8,-0.72
53,PK,7,5,6,-0.23
53,RCB,4,6,5,-0.44
53,RR,3,7,4,0.33
53,SRH,6,5,5,0.33
54,CSK,9,3,7,-0.43
54,DC,7,5,5,0.64
54,GT,2,8,3,0.12
54,KKR,8,4,7,-0.3
54,LSG,1,8,3,0.7
